Year,Low,Moderate,High,Unburned,Increased Greenness
1984,498604.5655,152265.9645,63007.79466,261632.6312,11684.625
1985,1447511.761,741939.661,251903.7464,547785.4056,24471.66123
1986,922816.7219,418341.155,107874.8421,281117.3105,6188.803663
1987,1043564.222,425008.33,204284.7852,536508.6528,19954.82199
1988,1217677.366,657055.9977,724360.4607,852122.0719,36549.7027
1989,770343.4854,229682.0538,149734.444,225825.7272,7536.738801
1990,844067.8203,564992.5393,456152.5037,348119.0941,10833.07515
1991,773120.9746,400900.2843,152077.1513,320922.6512,6457.679027
1992,620935.7394,205374.9647,111001.0464,321817.3457,13315.00159
1993,580867.7503,329812.2179,108590.2863,219147.6549,14269.07546
1994,1213489.227,724373.3596,384191.5375,711077.0392,27862.96017
1995,598726.7233,318744.961,70796.50682,202500.5114,3963.298479
1996,2266050.21,1054979.972,322796.995,839344.5987,17328.78369
1997,206696.8797,90689.28064,28992.05879,96566.06434,21500.46614
1998,804791.7793,239031.7553,126493.5158,278610.9206,4971.859088
1999,2377196.48,1082238.908,456489.6542,908943.7317,31116.15192
2000,2354066.082,1248010.021,843858.5468,1474779.592,29187.09906
2001,1141255.382,533368.66,229812.5996,540096.5487,6108.74152
2002,1868407.565,1584564.584,1124244.178,1014781.437,23361.68857
2003,1076549.603,785259.5075,640833.8508,744997.1453,25849.61967
2004,2006481.181,2129916.545,763638.2809,1396883.353,91269.73118
2005,2680915.334,2074149.481,1559576.966,1495402.711,64268.32863
2006,3377549.829,1795275.913,665440.0609,1442262.13,37729.06255
2007,2593915.806,1714610.857,1194273.868,1674862.227,63829.98839
2008,1689647.481,796743.0876,296475.0087,738589.0603,14538.61801
2009,1379285.249,918432.43,579896.9969,511771.8969,14671.16533
2010,1123705.316,406754.3838,206951.9666,295492.2459,5779.819549
2011,4613185.357,1480473.123,411574.3472,1082608.75,28794.57217
2012,3809820.241,1529724.017,680172.8296,1250712.119,25285.18156
2013,1362322.527,948626.0881,669749.8505,472828.3361,12185.23579
2014,1467694.093,576737.6557,367453.6569,379279.0578,5071.047187
2015,2988125.786,2288367.977,1964494.591,1154913.539,44327.29512
2016,2325824.384,774757.5783,376639.0086,581833.6111,35420.60409
2017,5138457.733,1548923.586,817889.2787,1213866.853,28826.37463
2018,3236351.789,1645890.628,681398.4475,756357.9634,14532.61335
